id,K,varphi,varphi_deg,tau_rgn,zone,B,S,R_Qeff_raw,R_PLV,R_combo_norm,F_res,F_cap,C,C_cl,dphi_cl,tau_cl
5646,0.0495895052224754,0.7237373737373737,41.46709699103382,0.8561159420289856,regulativ,0.5786,0.4215,1.1829096756576354,0.7493361173310823,0.0495895052224754,0.1792962171250864,0.1792962171250864,0.1515721959289979,0.1515721959289979,0.7237373737373737,0.8561159420289856
5647,0.0478943441491877,0.7383838383838384,42.306277600063815,0.8561159420289856,regulativ,0.5696,0.4305,1.1594456670433595,0.7395573520644579,0.0478943441491877,0.1757397258141237,0.1757397258141237,0.1515721959289979,0.1515721959289979,0.7383838383838384,0.8561159420289856
5648,0.0462545529621362,0.753030303030303,43.14545820909381,0.8561159420289856,regulativ,0.5605,0.4396,1.1368944099378882,0.7296199405845616,0.0462545529621362,0.172321582253688,0.172321582253688,0.1515721959289979,0.1515721959289979,0.753030303030303,0.8561159420289856
5649,0.0446671018091916,0.7676767676767676,43.9846388181238,0.8561159420289856,regulativ,0.5514,0.4487,1.1152036613272314,0.7195260146161292,0.0446671018091916,0.1690338678554269,0.1690338678554269,0.1515721959289979,0.1515721959289979,0.7676767676767676,0.8561159420289856
5650,0.0431291898884369,0.7823232323232323,44.82381942715379,0.8561159420289856,regulativ,0.5422,0.4579,1.094325090521234,0.7092777394586164,0.0431291898884369,0.1658692570305028,0.1658692570305028,0.1515721959289979,0.1515721959289979,0.7823232323232323,0.8561159420289856
5651,0.0416382243718485,0.796969696969697,45.66300003618379,0.8561159420289856,regulativ,0.5332,0.4669,1.0742139196561415,0.6988773135217095,0.0416382243718485,0.1628209626997775,0.1628209626997775,0.1515721959289979,0.1515721959289979,0.796969696969697,0.8561159420289856
5652,0.0401918016106033,0.8116161616161616,46.502180645213784,0.8561159420289856,regulativ,0.524,0.4761,1.05482860312221,0.6883269678537333,0.0401918016106033,0.1598826877039507,0.1598826877039507,0.1515721959289979,0.1515721959289979,0.8116161616161616,0.8561159420289856
5653,0.0387876903389073,0.8262626262626263,47.34136125424378,0.8561159420289856,regulativ,0.5149,0.4852,1.036130541086425,0.6776289656630571,0.0387876903389073,0.1570485813815702,0.1570485813815702,0.1515721959289979,0.1515721959289979,0.8262626262626263,0.8561159420289856
5654,0.0374238166326882,0.8409090909090909,48.180541863273774,0.8561159420289856,regulativ,0.5058,0.4943,1.0180838229533882,0.666785601832603,0.0374238166326882,0.1543132006848341,0.1543132006848341,0.1515721959289979,0.1515721959289979,0.8409090909090909,0.8561159420289856
5655,0.0360982504128644,0.8555555555555555,49.01972247230376,0.8561159420289856,regulativ,0.4966,0.5035,1.0006549971767364,0.6557992024275587,0.0360982504128644,0.1516714752894031,0.1516714752894031,0.1515721959289979,0.1515721959289979,0.8555555555555555,0.8561159420289856
